unit_id,cycle,op1,op2,op3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21
1,1,0.0,0.0002,100.0,518.6639,642.1547,1582.1158,1405.1217,14.62,21.6189,553.4912,2393.8678,9063.2547,1.3,47.2183,520.5652,2386.6137,8139.0524,8.3136,0.03,390.7382,2387.9831,100.0031,38.8425,23.2885
1,2,0.0001,-0.0006,100.0,518.6727,645.2272,1594.9686,1406.6252,14.6194,21.634,554.7994,2382.4125,9080.8038,1.3,47.1831,518.2651,2392.9401,8144.1196,8.3354,0.03,389.4029,2388.0403,99.9982,38.8437,23.4388
1,3,0.0,0.0001,100.0,518.6765,643.8731,1599.389,1412.5852,14.6198,21.6245,554.2608,2382.3061,9063.6743,1.3,47.4344,519.4422,2401.2536,8120.3956,8.3231,0.03,389.2018,2388.0415,100.0006,38.9785,23.433
1,4,0.0004,-0.0004,100.0,518.6699,646.2271,1607.6747,1419.0004,14.6199,21.5662,555.3252,2374.7666,9037.5824,1.3001,47.4857,518.963,2393.0472,8138.2426,8.334,0.03,387.2881,2387.8681,100.0008,39.1359,23.3645
1,5,-0.0004,-0.0003,100.0,518.6745,645.1707,1613.8659,1412.5905,14.6198,21.6441,554.0666,2383.1192,9065.2219,1.3,47.5101,517.033,2406.0843,8129.6687,8.3378,0.03,387.2465,2387.9763,99.996,39.0571,23.4043
1,6,-0.0001,0.0003,100.0,518.6566,644.5015,1617.5663,1423.2256,14.6196,21.5578,553.3864,2387.5745,9032.2558,1.3,47.4088,517.359,2399.1075,8144.694,8.376,0.03,386.2008,2388.0354,99.9972,39.1373,23.4538
1,7,-0.0,0.0002,100.0,518.6704,646.0803,1621.9402,1430.0611,14.6205,21.5721,554.6686,2381.7859,9036.0772,1.3,47.5798,516.074,2409.084,8146.3606,8.3388,0.03,385.2476,2388.0822,99.9972,39.3605,23.4199
1,8,-0.0003,-0.0003,100.0,518.6789,648.8891,1635.0535,1433.2636,14.6196,21.6007,551.7161,2383.4938,9057.0473,1.2999,47.9843,516.713,2401.369,8149.4114,8.3612,0.03,384.5766,2387.9845,99.9998,39.2094,23.4635
1,9,0.0001,0.0001,100.0,518.6797,649.445,1635.2283,1433.7965,14.6204,21.677,554.967,2386.6626,9060.9378,1.3,47.6909,514.7457,2402.8376,8131.1251,8.3577,0.03,381.5207,2387.983,100.0014,39.2616,23.4948
1,10,-0.0002,-0.0,100.0,518.6652,650.791,1644.9376,1440.2068,14.6201,21.5534,554.9339,2382.7307,9049.5037,1.3,48.0211,513.9337,2421.1427,8102.2566,8.3841,0.03,382.4293,2388.1054,99.9971,39.2651,23.525
1,11,0.0001,-0.0001,100.0,518.6767,649.2158,1650.6238,1442.4996,14.6203,21.6235,557.15,2392.055,9019.3515,1.3,47.876,512.8235,2414.9825,8120.8716,8.357,0.03,381.3305,2387.9965,99.9998,39.4201,23.5038
1,12,0.0001,0.0003,100.0,518.6893,652.1894,1654.692,1450.0224,14.6202,21.6517,554.2036,2388.3538,9030.1575,1.3,47.9395,513.6584,2414.2154,8123.4385,8.3745,0.03,379.702,2388.018,99.9987,39.366,23.4888
1,13,0.0,-0.0001,100.0,518.6631,651.3627,1659.3872,1456.6125,14.6199,21.6998,555.1048,2387.5659,9035.2822,1.3,48.1641,511.9963,2423.0946,8140.5856,8.3928,0.03,379.1005,2388.0296,99.9984,39.3686,23.5735
1,14,0.0,-0.0001,100.0,518.6817,650.2174,1669.6379,1459.9154,14.6198,21.6211,554.2826,2395.4958,9020.4647,1.3,48.1605,511.1539,2424.1087,8145.5123,8.4016,0.03,377.2758,2387.931,99.9989,39.3632,23.4931
1,15,0.0002,-0.0002,100.0,518.6815,653.7967,1677.114,1459.6719,14.6204,21.5734,554.891,2389.3117,9069.6648,1.3,48.264,511.0823,2422.0453,8147.7744,8.3843,0.03,376.1378,2387.9998,99.998,39.4841,23.6358
1,16,-0.0,0.0003,100.0,518.6805,651.4822,1685.5844,1464.4427,14.6199,21.6455,553.7436,2385.5811,9059.9041,1.3,48.3391,509.895,2419.4739,8136.9676,8.3937,0.03,376.8253,2388.0135,100.0006,39.5739,23.5959
1,17,-0.0002,-0.0002,100.0,518.6756,653.2186,1695.9693,1472.6112,14.6198,21.5773,552.957,2389.7839,9035.2392,1.3,48.2842,509.3445,2425.0692,8123.8756,8.359,0.03,375.5207,2388.0349,100.0029,39.5367,23.5324
1,18,-0.0003,0.0,100.0,518.6737,654.5786,1689.8388,1477.1682,14.6202,21.5931,554.045,2378.8389,9052.036,1.3,48.3677,509.6936,2438.4032,8150.4027,8.3942,0.03,374.3449,2388.0224,99.9998,39.5567,23.5689
1,19,-0.0002,0.0002,100.0,518.6804,654.338,1700.1318,1483.8387,14.6203,21.5097,554.2468,2383.1385,9029.694,1.3,48.5493,506.7133,2427.2287,8120.9385,8.3645,0.03,373.5904,2388.0411,100.002,39.606,23.553
1,20,0.0004,-0.0003,100.0,518.6559,654.9402,1709.2728,1485.8779,14.6199,21.54,555.1729,2385.8525,9026.8488,1.3,48.6284,504.224,2442.843,8135.8595,8.4036,0.03,371.8115,2388.0028,99.9998,39.6743,23.6976
1,21,-0.0002,-0.0,100.0,518.6919,655.0151,1720.0859,1486.5133,14.6203,21.6342,554.7115,2383.7477,9043.4908,1.3,48.6503,504.1519,2433.4971,8161.6262,8.4336,0.03,371.4026,2388.0593,100.0006,39.6812,23.624
1,22,-0.0002,-0.0002,100.0,518.6779,657.0777,1722.7767,1490.7477,14.6196,21.6283,555.8,2390.4773,9059.4562,1.3,48.7341,504.0297,2438.1648,8128.5452,8.4211,0.03,371.1034,2388.0861,100.0004,39.7514,23.6153
1,23,-0.0003,-0.0003,100.0,518.6749,656.8998,1727.4869,1490.7084,14.6201,21.5973,554.5689,2388.936,9016.8176,1.3,48.709,503.4102,2440.7643,8155.4529,8.4172,0.03,369.6216,2387.999,99.9984,39.7174,23.6204
1,24,0.0001,-0.0002,100.0,518.6846,658.4957,1730.4701,1503.0485,14.6195,21.6272,553.76,2395.5399,9061.3608,1.3,48.9944,500.8357,2449.357,8137.9338,8.4044,0.03,369.091,2388.0094,100.0006,39.8243,23.6139
1,25,0.0001,-0.0006,100.0,518.635,659.3481,1741.54,1501.2173,14.6197,21.6672,553.7928,2385.1326,9028.694,1.3,48.7613,501.9589,2444.3274,8136.2802,8.4348,0.03,367.2837,2387.9107,99.9989,39.7494,23.6527
1,26,-0.0,-0.0001,100.0,518.6716,658.2324,1743.0338,1500.0224,14.62,21.6096,554.2896,2385.1897,9064.9253,1.3,49.2083,501.0616,2446.1435,8131.9796,8.4264,0.03,367.9776,2388.0058,100.0014,39.9405,23.6733
1,27,0.0004,-0.0001,100.0,518.6634,658.4463,1752.0414,1505.5401,14.6202,21.5791,555.0581,2389.6363,9024.1748,1.3001,49.0375,499.6885,2450.472,8146.0913,8.4139,0.03,365.636,2387.9905,99.9979,39.9159,23.6519
1,28,-0.0004,0.0001,100.0,518.6601,660.2423,1756.4361,1514.6145,14.6199,21.5925,553.8283,2384.6486,9063.9451,1.3,49.2298,501.1424,2452.1633,8145.1112,8.4266,0.03,365.557,2387.9571,100.0049,40.1299,23.5742
1,29,0.0002,-0.0003,100.0,518.6755,661.5182,1757.4764,1520.0731,14.6204,21.6196,556.4267,2384.4518,9080.2474,1.3,49.1276,499.5842,2465.4159,8141.5073,8.444,0.03,361.8628,2388.097,100.0038,40.1034,23.7087
1,30,0.0,-0.0001,100.0,518.6864,663.0231,1768.2784,1522.7552,14.6201,21.5863,555.1422,2397.661,9082.5019,1.3,49.2403,499.2732,2453.8647,8130.7657,8.4332,0.03,362.8616,2388.052,100.0006,39.8987,23.7299
